Ashburton ,7.3,8,6.1,6.6,6.8,26.4,25,3.6,3.1,2,2,3.2,"8,025",0,0,1,0,40,105,2,3,0,0,0,25.8,18.4,England,486,3.3,China,466,3.2,India,362,2.5,New Zealand,236,1.6,Malaysia,176,1.2,Mandarin,253,3.4,Greek,238,3.2,Cantonese,170,2.3,Italian,87,1.2,Vietnamese,63,0.9
Ashwood ,7,5.6,5.4,5.3,7.8,30.8,23.6,3.4,2.8,2.9,2.6,2.8,"6,418",0,1,0,70,20,30,1,1,1,0,2,35.2,28.7,China,762,6.6,India,396,3.4,England,258,2.2,Malaysia,220,1.9,Greece,200,1.7,Mandarin,381,6.5,Greek,309,5.3,Cantonese,187,3.2,Italian,114,2,Sinhalese,67,1.2
Aspendale Gardens ,6.1,7.3,8.1,8.3,6.3,24.6,27.4,3.7,2.7,2.7,1.5,1,"6,889",0,0,0,0,0,0,0,1,0,0,0,31.4,22.4,England,544,4.3,India,390,3.1,South Africa,216,1.7,New Zealand,192,1.5,Sri Lanka,188,1.5,Greek,286,4.5,Italian,124,1.9,Cantonese,119,1.9,Vietnamese,96,1.5,Mandarin,96,1.5
Aspendale ,7.6,7,5.8,5.9,5.1,28.7,25.4,4.4,3.7,2.9,1.9,1.7,"6,930",0,0,0,0,0,25,2,2,1,0,1,19.8,10,England,616,4.9,New Zealand,184,1.5,Scotland,112,0.9,India,108,0.9,Germany,90,0.7,Greek,114,1.8,Russian,73,1.1,German,46,0.7,Italian,45,0.7,Mandarin,33,0.5
Attwood ,6.4,8.5,7.6,8,7.3,28.9,26.4,3.4,1.8,0.9,0.5,0.4,"3,387",0,0,0,0,0,0,0,0,0,0,0,23.9,20.1,Italy,222,3.5,Sri Lanka,108,1.7,Philippines,88,1.4,England,84,1.3,Turkey,84,1.3,Italian,250,7.8,Turkish,105,3.3,Greek,88,2.8,Arabic,58,1.8,Croatian,46,1.4
Avondale Heights ,4.9,4.8,4.4,5.3,6.2,26,25.1,6.6,6.2,4.9,3.1,2.5,"11,612",0,0,0,128,115,0,3,2,0,0,0,44.6,41.6,Italy,2548,12,Vietnam,1210,5.7,Greece,578,2.7,Croatia,490,2.3,Malta,388,1.8,Italian,1822,17.2,Vietnamese,677,6.4,Greek,621,5.9,Cantonese,415,3.9,Croatian,335,3.2
Avonsleigh ,10.6,8.2,3.6,4.6,6,32.1,19.7,6.7,4.3,1,2.4,1,417,0,0,0,0,0,0,0,0,0,0,0,12.1,3.5,England,54,7.3,France,14,1.9,New Zealand,10,1.4,Scotland,10,1.4,n/a,n/a,n/a,French,5,1.3,Italian,<5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Bakery Hill ,0,5.1,1.7,10.1,14,30.3,32.6,2.8,1.1,0,1.1,1.1,178,0,0,0,0,0,0,0,0,0,0,0,14.4,12,India,34,10.1,Vietnam,12,3.6,New Zealand,6,1.8,n/a,n/a,n/a,n/a,n/a,n/a,Punjabi,12,7.3,Vietnamese,5,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Balaclava ,5.9,3.7,2.9,2.3,8.5,50.4,18.4,2.8,1.5,1.4,1.1,1.1,"5,758",0,0,0,0,0,0,1,0,0,0,0,37.9,24.5,India,496,4.9,England,466,4.6,New Zealand,310,3,Ireland,218,2.1,Israel,194,1.9,Russian,134,2.6,Greek,133,2.6,Hebrew,120,2.4,Mandarin,89,1.8,Gujarati,76,1.5
Ballarat Central ,6.3,5.3,5.2,6.5,10,28.3,24.4,3.8,3.7,2.5,2.1,1.9,"5,703",2,0,1,80,0,0,3,2,0,0,0,11,6.2,England,222,2.1,India,154,1.5,New Zealand,128,1.2,Netherlands,84,0.8,Scotland,76,0.7,Malayalam,34,0.7,Cantonese,23,0.4,Italian,21,0.4,Mandarin,19,0.4,Hindi,18,0.3
